States,Year,Population
Alabama,2020,5033094
Alabama,2021,5049196
Alabama,2022,5076181
Alabama,2023,5117673
Alabama,2024,5157699
Alaska,2020,733017
Alaska,2021,734420
Alaska,2022,734442
Alaska,2023,736510
Alaska,2024,740133
Arizona,2020,7187135
Arizona,2021,7274078
Arizona,2022,7377566
Arizona,2023,7473027
Arizona,2024,7582384
Arkansas,2020,3014546
Arkansas,2021,3026870
Arkansas,2022,3047704
Arkansas,2023,3069463
Arkansas,2024,3088354
California,2020,39521958
California,2021,39142565
California,2022,39142414
California,2023,39198693
California,2024,39431263
Colorado,2020,5787129
Colorado,2021,5814036
Colorado,2022,5850935
Colorado,2023,5901339
Colorado,2024,5957493
Connecticut,2020,3579918
Connecticut,2021,3606607
Connecticut,2022,3617925
Connecticut,2023,3643023
Connecticut,2024,3675069
Delaware,2020,991928
Delaware,2021,1005062
Delaware,2022,1020625
Delaware,2023,1036423
Delaware,2024,1051917
District of Columbia,2020,670917
District of Columbia,2021,669256
District of Columbia,2022,676725
District of Columbia,2023,687324
District of Columbia,2024,702250
Florida,2020,21592035
Florida,2021,21831949
Florida,2022,22379312
Florida,2023,22904868
Florida,2024,23372215
Georgia,2020,10732888
Georgia,2021,10792060
Georgia,2022,10931805
Georgia,2023,11064432
Georgia,2024,11180878
Hawaii,2020,1451252
Hawaii,2021,1447029
Hawaii,2022,1440359
Hawaii,2023,1441387
Hawaii,2024,1446146
Idaho,2020,1849415
Idaho,2021,1904848
Idaho,2022,1944299
Idaho,2023,1971122
Idaho,2024,2001619
Illinois,2020,12799088
Illinois,2021,12700641
Illinois,2022,12621821
Illinois,2023,12642259
Illinois,2024,12710158
Indiana,2020,6790497
Indiana,2021,6815907
Indiana,2022,6844545
Indiana,2023,6880131
Indiana,2024,6924275
Iowa,2020,3191141
Iowa,2021,3198613
Iowa,2022,3202820
Iowa,2023,3218414
Iowa,2024,3241488
Kansas,2020,2938172
Kansas,2021,2938338
Kansas,2022,2937324
Kansas,2023,2951500
Kansas,2024,2970606
Kentucky,2020,4508318
Kentucky,2021,4507583
Kentucky,2022,4519233
Kentucky,2023,4550595
Kentucky,2024,4588372
Louisiana,2020,4652301
Louisiana,2021,4627971
Louisiana,2022,4593687
Louisiana,2023,4588071
Louisiana,2024,4597740
Maine,2020,1364571
Maine,2021,1378931
Maine,2022,1390922
Maine,2023,1399646
Maine,2024,1405012
Maryland,2020,6177935
Maryland,2021,6179403
Maryland,2022,6192440
Maryland,2023,6217062
Maryland,2024,6263220
Massachusetts,2020,6994598
Massachusetts,2021,7000474
Massachusetts,2022,7022468
Massachusetts,2023,7066568
Massachusetts,2024,7136171
Michigan,2020,10072703
Michigan,2021,10041351
Michigan,2022,10050877
Michigan,2023,10083356
Michigan,2024,10140459
Minnesota,2020,5710735
Minnesota,2021,5718660
Minnesota,2022,5721621
Minnesota,2023,5753048
Minnesota,2024,5793151
Mississippi,2020,2958536
Mississippi,2021,2947209
Mississippi,2022,2941939
Mississippi,2023,2943172
Mississippi,2024,2943045
Missouri,2020,6154744
Missouri,2021,6171374
Missouri,2022,6179414
Missouri,2023,6208038
Missouri,2024,6245466
Montana,2020,1087230
Montana,2021,1106522
Montana,2022,1122095
Montana,2023,1131302
Montana,2024,1137233
Nebraska,2020,1963387
Nebraska,2021,1964537
Nebraska,2022,1972246
Nebraska,2023,1987864
Nebraska,2024,2005465
Nevada,2020,3116967
Nevada,2021,3148141
Nevada,2022,3176116
Nevada,2023,3214363
Nevada,2024,3267467
New Hampshire,2020,1378756
New Hampshire,2021,1387677
New Hampshire,2022,1396678
New Hampshire,2023,1402199
New Hampshire,2024,1409032
New Jersey,2020,9272794
New Jersey,2021,9270541
New Jersey,2022,9295227
New Jersey,2023,9379642
New Jersey,2024,9500851
New Mexico,2020,2118606
New Mexico,2021,2117333
New Mexico,2022,2113868
New Mexico,2023,2121164
New Mexico,2024,2130256
New York,2020,20105171
New York,2021,19848276
New York,2022,19703747
New York,2023,19737367
New York,2024,19867248
North Carolina,2020,10449652
North Carolina,2021,10564320
North Carolina,2022,10710793
North Carolina,2023,10881189
North Carolina,2024,11046024
North Dakota,2020,779563
North Dakota,2021,777966
North Dakota,2022,781057
North Dakota,2023,789047
North Dakota,2024,796568
Ohio,2020,11798905
Ohio,2021,11767344
Ohio,2022,11777874
Ohio,2023,11824034
Ohio,2024,11883304
Oklahoma,2020,3965415
Oklahoma,2021,3992238
Oklahoma,2022,4026229
Oklahoma,2023,4063882
Oklahoma,2024,4095393
Oregon,2020,4243779
Oregon,2021,4254280
Oregon,2022,4247372
Oregon,2023,4253653
Oregon,2024,4272371
Pennsylvania,2020,12996143
Pennsylvania,2021,13015571
Pennsylvania,2022,12984990
Pennsylvania,2023,13017721
Pennsylvania,2024,13078751
Rhode Island,2020,1096530
Rhode Island,2021,1097246
Rhode Island,2022,1099498
Rhode Island,2023,1103429
Rhode Island,2024,1112308
South Carolina,2020,5132249
South Carolina,2021,5194274
South Carolina,2022,5287935
South Carolina,2023,5387830
South Carolina,2024,5478831
South Dakota,2020,887948
South Dakota,2021,896492
South Dakota,2022,909723
South Dakota,2023,918305
South Dakota,2024,924669
Tennessee,2020,6927904
Tennessee,2021,6965740
Tennessee,2022,7062217
Tennessee,2023,7148304
Tennessee,2024,7227750
Texas,2020,29239570
Texas,2021,29570351
Texas,2022,30113488
Texas,2023,30727890
Texas,2024,31290831
Utah,2020,3284077
Utah,2021,3339738
Utah,2022,3391011
Utah,2023,3443222
Utah,2024,3503613
Vermont,2020,642977
Vermont,2021,647210
Vermont,2022,648142
Vermont,2023,648708
Vermont,2024,648493
Virginia,2020,8637615
Virginia,2021,8658910
Virginia,2022,8683414
Virginia,2023,8734685
Virginia,2024,8811195
Washington,2020,7727209
Washington,2021,7743760
Washington,2022,7794123
Washington,2023,7857320
Washington,2024,7958180
West Virginia,2020,1791646
West Virginia,2021,1785618
West Virginia,2022,1774122
West Virginia,2023,1770495
West Virginia,2024,1769979
Wisconsin,2020,5897375
Wisconsin,2021,5881608
Wisconsin,2022,5903975
Wisconsin,2023,5930405
Wisconsin,2024,5960975
Wyoming,2020,577681
Wyoming,2021,579636
Wyoming,2022,581978
Wyoming,2023,585067
Wyoming,2024,587618
